,0,1,2,3
262,78.0,293.0,875830495.0,1.0
263,89.0,19.0,875830508.0,1.0
264,154.0,69.0,875830511.0,1.0
265,37.0,319.0,875830512.0,1.0
266,74.0,328.0,875830513.0,1.0
267,32.0,339.0,875830513.0,1.0
268,71.0,322.0,875830513.0,0.0
269,170.0,206.0,875830514.0,0.0
270,130.0,305.0,875830514.0,1.0
271,135.0,268.0,875830514.0,1.0
272,126.0,57.0,875830515.0,1.0
273,88.0,309.0,875830517.0,1.0
274,131.0,58.0,875830518.0,1.0
275,94.0,298.0,875830519.0,0.0
276,87.0,319.0,875830520.0,0.0
277,162.0,66.0,875830521.0,1.0
278,71.0,320.0,875830524.0,0.0
279,160.0,91.0,875830525.0,1.0
280,96.0,281.0,875830529.0,0.0
281,39.0,336.0,875830530.0,0.0
282,81.0,256.0,875830533.0,1.0
283,44.0,343.0,875830534.0,1.0
284,180.0,65.0,875830535.0,0.0
285,127.0,340.0,875830535.0,1.0
286,79.0,314.0,875830536.0,1.0
287,95.0,308.0,875830540.0,1.0
288,62.0,329.0,875830542.0,1.0
289,160.0,85.0,875830542.0,1.0
290,195.0,87.0,875830543.0,0.0
291,210.0,86.0,875830543.0,1.0
292,185.0,117.0,875830545.0,1.0
293,87.0,321.0,875830549.0,1.0
294,255.0,49.0,875830549.0,1.0
295,180.0,302.0,875830551.0,1.0
296,127.0,116.0,875830553.0,0.0
297,159.0,69.0,875830556.0,1.0
298,137.0,299.0,875830559.0,1.0
299,168.0,99.0,875830559.0,1.0
300,83.0,20.0,875830560.0,1.0
301,10.0,333.0,875830561.0,1.0
302,30.0,340.0,875830564.0,1.0
303,118.0,325.0,875830565.0,1.0
304,101.0,20.0,875830569.0,0.0
305,126.0,121.0,875830570.0,1.0
306,113.0,14.0,875830571.0,1.0
307,149.0,297.0,875830571.0,0.0
308,63.0,260.0,875830572.0,1.0
309,255.0,104.0,875830572.0,0.0
310,82.0,296.0,875830573.0,0.0
311,180.0,311.0,875830578.0,1.0
312,254.0,37.0,875830581.0,1.0
313,189.0,330.0,875830582.0,0.0
314,84.0,258.0,875830585.0,1.0
315,76.0,21.0,875830590.0,0.0
316,102.0,317.0,875830591.0,1.0
317,31.0,328.0,875830592.0,0.0
318,110.0,66.0,875830597.0,1.0
319,86.0,23.0,875830600.0,0.0
320,185.0,14.0,875830600.0,0.0
321,180.0,314.0,875830601.0,1.0
322,34.0,341.0,875830602.0,1.0
323,89.0,290.0,875830603.0,1.0
324,77.0,295.0,875830603.0,0.0
325,80.0,315.0,875830605.0,1.0
326,160.0,123.0,875830605.0,1.0
327,35.0,341.0,875830605.0,1.0
328,154.0,213.0,875830605.0,1.0
329,230.0,34.0,875830607.0,0.0
330,144.0,338.0,875830609.0,1.0
331,117.0,271.0,875830609.0,1.0
332,143.0,333.0,875830610.0,1.0
333,191.0,98.0,875830612.0,0.0
334,102.0,288.0,875830613.0,1.0
335,191.0,220.0,875830613.0,0.0
336,76.0,292.0,875830615.0,1.0
